Simulator,Token,Layer,Event,Start_Time_s,End_Time_s,Bandwidth_GBps
FlexGen,1,Layer_1,Weight_Read,0.0,0.19007029894736843,7.6
FlexGen,1,Layer_1,KV_Write_Stall,0.19007029894736843,0.21802501894736842,-7.6
FlexGen,1,Layer_2,Weight_Read,0.21802501894736842,0.40809531789473685,7.6
FlexGen,1,Layer_2,KV_Write_Stall,0.40809531789473685,0.43605003789473684,-7.6
FlexGen,1,Layer_3,Weight_Read,0.43605003789473684,0.6261203368421053,7.6
FlexGen,1,Layer_3,KV_Write_Stall,0.6261203368421053,0.6540750568421053,-7.6
FlexGen,1,Layer_4,Weight_Read,0.6540750568421053,0.8441453557894738,7.6
FlexGen,1,Layer_4,KV_Write_Stall,0.8441453557894738,0.8721000757894738,-7.6
FlexGen,1,Layer_5,Weight_Read,0.8721000757894738,1.0621703747368423,7.6
FlexGen,1,Layer_5,KV_Write_Stall,1.0621703747368423,1.0901250947368424,-7.6
FlexGen,1,Layer_6,Weight_Read,1.0901250947368424,1.2801953936842108,7.6
FlexGen,1,Layer_6,KV_Write_Stall,1.2801953936842108,1.3081501136842109,-7.6
FlexGen,1,Layer_7,Weight_Read,1.3081501136842109,1.4982204126315792,7.6
FlexGen,1,Layer_7,KV_Write_Stall,1.4982204126315792,1.5261751326315793,-7.6
FlexGen,1,Layer_8,Weight_Read,1.5261751326315793,1.7162454315789477,7.6
FlexGen,1,Layer_8,KV_Write_Stall,1.7162454315789477,1.7442001515789478,-7.6
FlexGen,1,Layer_9,Weight_Read,1.7442001515789478,1.9342704505263162,7.6
FlexGen,1,Layer_9,KV_Write_Stall,1.9342704505263162,1.9622251705263163,-7.6
FlexGen,1,Layer_10,Weight_Read,1.9622251705263163,2.152295469473685,7.6
FlexGen,1,Layer_10,KV_Write_Stall,2.152295469473685,2.1802501894736848,-7.6
FlexGen,1,Layer_11,Weight_Read,2.1802501894736848,2.3703204884210534,7.6
FlexGen,1,Layer_11,KV_Write_Stall,2.3703204884210534,2.3982752084210532,-7.6
FlexGen,1,Layer_12,Weight_Read,2.3982752084210532,2.588345507368422,7.6
FlexGen,1,Layer_12,KV_Write_Stall,2.588345507368422,2.6163002273684217,-7.6
FlexGen,1,Layer_13,Weight_Read,2.6163002273684217,2.8063705263157903,7.6
FlexGen,1,Layer_13,KV_Write_Stall,2.8063705263157903,2.83432524631579,-7.6
FlexGen,1,Layer_14,Weight_Read,2.83432524631579,3.024395545263159,7.6
FlexGen,1,Layer_14,KV_Write_Stall,3.024395545263159,3.0523502652631587,-7.6
FlexGen,1,Layer_15,Weight_Read,3.0523502652631587,3.2424205642105273,7.6
FlexGen,1,Layer_15,KV_Write_Stall,3.2424205642105273,3.270375284210527,-7.6
FlexGen,1,Layer_16,Weight_Read,3.270375284210527,3.4604455831578957,7.6
FlexGen,1,Layer_16,KV_Write_Stall,3.4604455831578957,3.4884003031578956,-7.6
FlexGen,1,Layer_17,Weight_Read,3.4884003031578956,3.678470602105264,7.6
FlexGen,1,Layer_17,KV_Write_Stall,3.678470602105264,3.706425322105264,-7.6
FlexGen,1,Layer_18,Weight_Read,3.706425322105264,3.8964956210526327,7.6
FlexGen,1,Layer_18,KV_Write_Stall,3.8964956210526327,3.9244503410526326,-7.6
FlexGen,1,Layer_19,Weight_Read,3.9244503410526326,4.114520640000001,7.6
FlexGen,1,Layer_19,KV_Write_Stall,4.114520640000001,4.1424753600000015,-7.6
FlexGen,1,Layer_20,Weight_Read,4.1424753600000015,4.33254565894737,7.6
FlexGen,1,Layer_20,KV_Write_Stall,4.33254565894737,4.36050037894737,-7.6
FlexGen,1,Layer_21,Weight_Read,4.36050037894737,4.550570677894739,7.6
FlexGen,1,Layer_21,KV_Write_Stall,4.550570677894739,4.578525397894739,-7.6
FlexGen,1,Layer_22,Weight_Read,4.578525397894739,4.768595696842108,7.6
FlexGen,1,Layer_22,KV_Write_Stall,4.768595696842108,4.796550416842108,-7.6
FlexGen,1,Layer_23,Weight_Read,4.796550416842108,4.986620715789477,7.6
FlexGen,1,Layer_23,KV_Write_Stall,4.986620715789477,5.014575435789477,-7.6
FlexGen,1,Layer_24,Weight_Read,5.014575435789477,5.204645734736846,7.6
FlexGen,1,Layer_24,KV_Write_Stall,5.204645734736846,5.232600454736846,-7.6
FlexGen,1,Layer_25,Weight_Read,5.232600454736846,5.422670753684215,7.6
FlexGen,1,Layer_25,KV_Write_Stall,5.422670753684215,5.450625473684215,-7.6
FlexGen,1,Layer_26,Weight_Read,5.450625473684215,5.640695772631584,7.6
FlexGen,1,Layer_26,KV_Write_Stall,5.640695772631584,5.668650492631584,-7.6
FlexGen,1,Layer_27,Weight_Read,5.668650492631584,5.8587207915789525,7.6
