Simulator,Token,Layer,Event,Start_Time_s,End_Time_s,Bandwidth_GBps
Baseline_Simplex,1,Layer_1,Weight_Read,0.0,0.03562656118518519,27.0
Baseline_Simplex,1,Layer_1,KV_Write_Stall,0.03562656118518519,0.03563677522222222,0.0
Baseline_Simplex,1,Layer_2,Weight_Read,0.03563677522222222,0.07126333640740741,27.0
Baseline_Simplex,1,Layer_2,KV_Write_Stall,0.07126333640740741,0.07127355044444444,0.0
Baseline_Simplex,1,Layer_3,Weight_Read,0.07127355044444444,0.10690011162962963,27.0
Baseline_Simplex,1,Layer_3,KV_Write_Stall,0.10690011162962963,0.10691032566666667,0.0
Baseline_Simplex,1,Layer_4,Weight_Read,0.10691032566666667,0.14253688685185184,27.0
Baseline_Simplex,1,Layer_4,KV_Write_Stall,0.14253688685185184,0.1425471008888889,0.0
Baseline_Simplex,1,Layer_5,Weight_Read,0.1425471008888889,0.1781736620740741,27.0
Baseline_Simplex,1,Layer_5,KV_Write_Stall,0.1781736620740741,0.17818387611111114,0.0
Baseline_Simplex,1,Layer_6,Weight_Read,0.17818387611111114,0.21381043729629634,27.0
Baseline_Simplex,1,Layer_6,KV_Write_Stall,0.21381043729629634,0.2138206513333334,0.0
Baseline_Simplex,1,Layer_7,Weight_Read,0.2138206513333334,0.2494472125185186,27.0
Baseline_Simplex,1,Layer_7,KV_Write_Stall,0.2494472125185186,0.24945742655555564,0.0
Baseline_Simplex,1,Layer_8,Weight_Read,0.24945742655555564,0.28508398774074084,27.0
Baseline_Simplex,1,Layer_8,KV_Write_Stall,0.28508398774074084,0.2850942017777779,0.0
Baseline_Simplex,1,Layer_9,Weight_Read,0.2850942017777779,0.3207207629629631,27.0
Baseline_Simplex,1,Layer_9,KV_Write_Stall,0.3207207629629631,0.32073097700000014,0.0
Baseline_Simplex,1,Layer_10,Weight_Read,0.32073097700000014,0.35635753818518534,27.0
Baseline_Simplex,1,Layer_10,KV_Write_Stall,0.35635753818518534,0.3563677522222224,0.0
Baseline_Simplex,1,Layer_11,Weight_Read,0.3563677522222224,0.3919943134074076,27.0
Baseline_Simplex,1,Layer_11,KV_Write_Stall,0.3919943134074076,0.39200452744444464,0.0
Baseline_Simplex,1,Layer_12,Weight_Read,0.39200452744444464,0.42763108862962984,27.0
Baseline_Simplex,1,Layer_12,KV_Write_Stall,0.42763108862962984,0.4276413026666669,0.0
Baseline_Simplex,1,Layer_13,Weight_Read,0.4276413026666669,0.4632678638518521,27.0
