Simulator,Model,Params_B,Quantization,Host_Mem_GB,CXL_Mem_GB,Throughput,System_Cost
simulator_normal_nocxl_prefill.py,7B,7.6,fp32,32,0,22.0203,25000.0
simulator_tired_ADAPTIVE_prefill.py,7B,0.0,fp32,32,64,23.6702,4000.0
simulation_async_prefetch_sequential_prefill.py,7B,0.0,fp32,32,64,23.6702,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp32,32,64,0.0000,4000.0
simulator_normal_nocxl_prefill.py,13B,13.0,fp32,32,0,5.5749,25000.0
simulator_tired_ADAPTIVE_prefill.py,7B,0.0,fp32,32,64,12.0480,4000.0
simulation_async_prefetch_sequential_prefill.py,7B,0.0,fp32,32,64,12.6570,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp32,32,64,0.0000,4000.0
simulator_normal_nocxl_prefill.py,20B,22.9,fp32,32,0,2.1698,25000.0
simulator_tired_ADAPTIVE_prefill.py,7B,0.0,fp32,32,64,6.2331,4000.0
simulation_async_prefetch_sequential_prefill.py,7B,0.0,fp32,32,64,6.7633,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp32,32,64,0.0000,4000.0
simulator_normal_nocxl_prefill.py,70B,75.6,fp32,32,0,0.5128,25000.0
simulator_tired_ADAPTIVE_prefill.py,7B,0.0,fp32,32,64,0.7595,4000.0
simulation_async_prefetch_sequential_prefill.py,7B,0.0,fp32,32,64,1.7832,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp32,32,64,0.0000,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp16,32,64,0.0000,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp16,32,64,0.0000,4000.0
simulation_semantic_duplex_prefill.py,7B,0.0,fp16,32,64,0.0000,4000.0
