Experiment,Model,Simulator,Quant,MemConfig,BatchSize,TPS,Prefill_TPS,Cold_Load_s,Read_Op_Pct,Write_Op_Pct,Write_Util_Pct,Write_Stall_Time_s,Write_Stall_Pct,Write_Stall_Count,Write_Stall_Freq_Pct,Per_Token_Stall_Min_Pct,Per_Token_Stall_Max_Pct,Per_Token_Stall_Mean_Pct,Token_Time_s,Stall_Pct_of_Token
Scalability,7,FlexGen,fp32,32H+64C,128,99.399281,44.769,0.0,99.9991,0.0009,0.0,0.000899,0.0698,32.0,0.0,0.0695,0.0702,0.06985,0.0,0.0
Scalability,7,LIA,fp32,32H+64C,128,107.43966,44.719,0.0,99.9991,0.0009,0.0,0.000899,0.0755,0.0,0.0,0.0755,0.0755,0.0755,0.0,0.0
Scalability,7,LLMFlash,fp32,32H+64C,128,88.7649,0.3,0.0,99.8656,0.1344,0.0,0.001141,0.0791,0.0,0.0,0.0787,0.0796,0.079125,0.0,0.0
Scalability,7,CXLAimPod,fp32,32H+64C,128,85.328155,44.769,0.0,99.9452,0.0548,0.0,0.001307,0.0872,0.0,0.0,0.0866,0.0877,0.08715625,0.0,0.0
Scalability,7,SemSched,fp32,32H+64C,128,85.327763,47.4,0.0,99.9991,0.0009,0.0872,0.001307,0.0872,512.0,0.0,0.086588,0.087728,0.0871555,0.0,0.0
Scalability,13,FlexGen,fp32,32H+64C,128,16.479068,26.065,0.0,99.9969,0.0031,0.0,0.005621,0.0724,40.0,0.0,0.072,0.0728,0.07236875,0.0,0.0
Scalability,13,LIA,fp32,32H+64C,128,42.99666,26.044,0.0,99.9969,0.0031,0.0,0.005621,0.1888,0.0,0.0,0.1862,0.1915,0.18883125,0.0,0.0
Scalability,13,LLMFlash,fp32,32H+64C,128,24.6456,0.2,0.0,99.521,0.479,0.0,0.00717,0.1381,0.0,0.0,0.1367,0.1395,0.1380625,0.0,0.0
Scalability,13,CXLAimPod,fp32,32H+64C,128,21.825878,26.065,0.0,99.8391,0.1609,0.0,0.008171,0.1393,0.0,0.0,0.1379,0.1408,0.13933125,0.0,0.0
Scalability,13,SemSched,fp32,32H+64C,128,21.821823,27.28,0.0,99.9969,0.0031,0.1393,0.008171,0.1393,640.0,0.0,0.137865,0.140776,0.1393111875,0.0,0.0
