Experiment,Model,Simulator,Quant,MemConfig,TPS,Stall_s,Hit_Rate,Prefill_Time_s,Prefill_TPS,Duplex_Read_Ratio,Sparsity_Savings_FLOPs,Injected_Ops,NAND_Miss_Bytes
Scalability,7,Baseline,fp32,32H+64C,1.089166,0.0,0.0,2.931725,174.641,0.0,0,0,0
Scalability,7,Adaptive,fp32,32H+64C,1.220101,0.0,0.0,2.836793,180.485,0.0,0,0,0
Scalability,7,Async,fp32,32H+64C,1.220101,0.0,0.0,2.836793,180.485,0.0,0,0,0
Scalability,7,SemDuplex,fp32,32H+64C,1.064353,0.0,0.0,2.640135,193.9294770911336,59.55,9920057140,65,0
Scalability,13,Baseline,fp32,32H+64C,0.208052,0.0,0.0,6.984048,73.31,0.0,0,0,0
Scalability,13,Adaptive,fp32,32H+64C,0.614643,0.0,0.0,6.97092,73.448,0.0,0,0,0
Scalability,13,Async,fp32,32H+64C,0.614643,0.0,0.0,4.862563,105.294,0.0,0,0,0
Scalability,13,SemDuplex,fp32,32H+64C,0.620207,0.0,0.0,4.684532,109.29586989692888,59.61,16849457472,81,0
Scalability,20,Baseline,fp32,32H+64C,0.076475,0.0,0.0,15.061128,33.995,0.0,0,0,0
Scalability,20,Adaptive,fp32,32H+64C,0.315564,0.0,0.0,14.945589,34.258,0.0,0,0,0
Scalability,20,Async,fp32,32H+64C,0.314987,0.0,0.0,8.211813,62.349,0.0,0,0,0
Scalability,20,SemDuplex,fp32,32H+64C,0.315622,0.0,0.0,13.07592,39.15594466775569,58.39,28367215014,82,0
Scalability,72,Baseline,fp32,32H+64C,0.017618,0.0,0.0,58.692758,8.723,0.0,0,0,0
Scalability,72,Adaptive,fp32,32H+64C,0.027866,0.0,0.0,58.163754,8.803,0.0,0,0,0
Scalability,72,Async,fp32,32H+64C,0.087713,0.0,32.1,50.788524,10.081,0.0,0,0,0
Scalability,72,SemDuplex,fp32,32H+64C,0.087867,0.0,0.0,51.749114,9.893889197793802,58.74,98808423911,162,161480704000
Quantization,72,Baseline,fp32,32H+64C,0.017618,0.0,0.0,58.692758,8.723,0.0,0,0,0
Quantization,72,Adaptive,fp32,32H+64C,0.027866,0.0,0.0,58.163754,8.803,0.0,0,0,0
Quantization,72,Async,fp32,32H+64C,0.087713,0.0,32.1,50.788524,10.081,0.0,0,0,0
Quantization,72,SemDuplex,fp32,32H+64C,0.087867,0.0,0.0,51.749114,9.893889197793802,58.74,98808423911,162,161480704000
Quantization,72,Baseline,fp16,32H+64C,0.039375,0.0,0.0,30.447736,16.816,0.0,0,0,0
Quantization,72,Adaptive,fp16,32H+64C,0.061264,0.0,0.0,29.798119,17.182,0.0,0,0,0
Quantization,72,Async,fp16,32H+64C,0.182545,0.0,100.0,28.738397,17.816,0.0,0,0,0
Quantization,72,SemDuplex,fp16,32H+64C,0.182268,0.0,0.0,23.133312,22.132585251951816,58.74,98808423911,162,0
Quantization,72,Baseline,int8,32H+64C,0.10472,0.0,0.0,28.123862,18.205,0.0,0,0,0
Quantization,72,Adaptive,int8,32H+64C,0.394967,0.0,0.0,28.121406,18.207,0.0,0,0,0
Quantization,72,Async,int8,32H+64C,0.393864,0.0,0.0,27.898304,18.352,0.0,0,0,0
