Layer,Name,Placement,Served_From,Bytes,Compute_s,Mem_s,Layer_Time_s,Prefetch_Bytes,Prefetch_Time_s,Prefetch_Lookahead,Prefetch_Chunk_MB,DeviceDRAM_Cache_GB
1,embed_tokens,Host DRAM,Host DRAM,4982833152.0,0.0,0.13356288,0.13356288,0,0.0,8,4.194304,62.613
2,decoder_0,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,8,4.194304,63.03
3,decoder_1,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,8,4.194304,63.447
4,decoder_2,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,8,4.194304,63.863
5,decoder_3,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,8,4.194304,60.87
6,decoder_4,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,9,4.194304,61.287
7,decoder_5,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,9,4.194304,61.703
8,decoder_6,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,9,4.194304,62.12
9,decoder_7,Host DRAM,Host DRAM,3657441280.0,0.023192935064935066,0.09803646666666667,0.09803646666666667,447450496,0.09213065542168675,9,4.194304,62.537
10,decoder_8,CXL Device NAND,CXL DRAM (cache 3579.6MB) + CXL NAND (77.8MB),3657441280.0,0.023192935064935066,0.15550112614074074,0.15550112614074074,705176746,0.14519683464948688,9,4.194304,63.194
11,decoder_9,CXL Device NAND,CXL DRAM (cache 705.2MB) + CXL NAND (2952.3MB),3657441280.0,0.023192935064935066,0.6353518330592592,0.6353518330592592,2862646714,0.5894227848863007,10,8.388608,62.45
12,decoder_10,CXL Device NAND,CXL DRAM (cache 2862.6MB) + CXL NAND (794.8MB),3657441280.0,0.023192935064935066,0.2751884745703704,0.2751884745703704,1231840327,0.25363756993534137,10,8.388608,63.597
13,decoder_11,CXL Device NAND,CXL DRAM (cache 1231.8MB) + CXL NAND (2425.6MB),3657441280.0,0.023192935064935066,0.5474317974148148,0.5474317974148148,2434480799,0.5012628506448907,10,8.388608,62.454
14,decoder_12,CXL Device NAND,CXL DRAM (cache 2434.5MB) + CXL NAND (1223.0MB),3657441280.0,0.023192935064935066,0.3466662887185185,0.3466662887185185,1530829623,0.3153410216656403,10,8.388608,63.88
15,decoder_13,CXL Device NAND,CXL DRAM (cache 1530.8MB) + CXL NAND (2126.6MB),3657441280.0,0.023192935064935066,0.4975197358444444,0.4975197358444444,2182427733,0.44956602636546183,10,8.388608,62.502
16,decoder_14,CXL Device NAND,CXL DRAM (cache 2182.4MB) + CXL NAND (1475.0MB),3657441280.0,0.023192935064935066,0.3887429651777778,0.3887429651777778,1693897437,0.3489319386234271,11,8.388608,60.669
17,decoder_15,CXL Device NAND,CXL DRAM (cache 1693.9MB) + CXL NAND (1963.5MB),3657441280.0,0.023192935064935066,0.47029759771111107,0.47029759771111107,2035507820,0.41930147265809903,11,8.388608,62.565
18,decoder_16,CXL Device NAND,CXL DRAM (cache 2035.5MB) + CXL NAND (1621.9MB),3657441280.0,0.023192935064935066,0.4132700315185185,0.4132700315185185,1776599549,0.36596803995917,11,8.388608,60.81
19,decoder_17,CXL Device NAND,CXL DRAM (cache 1776.6MB) + CXL NAND (1880.8MB),3657441280.0,0.023192935064935066,0.4564909444962963,0.4564909444962963,1949051533,0.40149203552083895,11,8.388608,62.625
20,decoder_18,CXL Device NAND,CXL DRAM (cache 1949.1MB) + CXL NAND (1708.4MB),3657441280.0,0.023192935064935066,0.42770202221481485,0.42770202221481485,1813625466,0.37359513988643467,11,8.388608,59.673
21,decoder_19,CXL Device NAND,CXL DRAM (cache 1813.6MB) + CXL NAND (1843.8MB),3657441280.0,0.023192935064935066,0.45031016935555557,0.45031016935555557,1896324021,0.39063050835662655,12,8.388608,58.106
