Layer,Name,Kind,Placement,Served_From,Param_Bytes,KV_Write_Bytes,Compute_s,Mem_s,Layer_Time_s
1,embed_tokens,Embedding,Host DRAM,Host DRAM,4982833152,0.0,0.0,0.13356288,0.13356288
2,decoder_0,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
3,decoder_1,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
4,decoder_2,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
5,decoder_3,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
6,decoder_4,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
7,decoder_5,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
8,decoder_6,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
9,decoder_7,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
10,decoder_8,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
11,decoder_9,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
12,decoder_10,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
13,decoder_11,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
14,decoder_12,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
15,decoder_13,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
16,decoder_14,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
17,decoder_15,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
18,decoder_16,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
19,decoder_17,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
20,decoder_18,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
21,decoder_19,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
22,decoder_20,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
23,decoder_21,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
24,decoder_22,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
25,decoder_23,DecoderBlock,CXL Device DRAM,CXL DRAM (resident),3657433088,4194304.0,0.34789402597402597,0.14250624474074075,0.34789402597402597
26,decoder_24,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
27,decoder_25,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
28,decoder_26,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
29,decoder_27,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
30,decoder_28,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
31,decoder_29,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
32,decoder_30,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
33,decoder_31,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
34,decoder_32,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
35,decoder_33,DecoderBlock,CXL Device NAND,CXL NAND (3657.4MB),3657433088,4194304.0,0.34789402597402597,0.7530703616,0.7530703616
