Layer,Name,Kind,Placement,Served_From,Bytes,Compute_s,Mem_s,Layer_Time_s
1,embed_tokens,Embedding,Host SSD (NVMe),"Host SSD (NVMe, sequential)",4982833152.0,0.0,1.0357959410526316,1.0357959410526316
2,decoder_0,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
3,decoder_1,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
4,decoder_2,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
5,decoder_3,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
6,decoder_4,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
7,decoder_5,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
8,decoder_6,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
9,decoder_7,DecoderBlock,Host DRAM,Host DRAM,3661635584.0,0.023192935064935066,0.09814889333333333,0.09814889333333333
10,decoder_8,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
11,decoder_9,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
12,decoder_10,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
13,decoder_11,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
14,decoder_12,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
15,decoder_13,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
16,decoder_14,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
17,decoder_15,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
18,decoder_16,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
19,decoder_17,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
20,decoder_18,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
21,decoder_19,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
22,decoder_20,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
23,decoder_21,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
24,decoder_22,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
25,decoder_23,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
26,decoder_24,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
27,decoder_25,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
28,decoder_26,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
29,decoder_27,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
30,decoder_28,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3661635584.0,0.023192935064935066,0.7611741557894738,0.7611741557894738
