Layer,Name,Kind,Placement,Served_From,Param_Bytes,KV_Write_Bytes,Compute_s,Mem_s,Layer_Time_s
1,embed_tokens,Embedding,Host SSD (NVMe),"Host SSD (NVMe, sequential)",4982833152,0.0,0.0,1.0357959410526316,1.0357959410526316
2,decoder_0,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
3,decoder_1,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
4,decoder_2,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
5,decoder_3,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
6,decoder_4,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
7,decoder_5,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
8,decoder_6,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
9,decoder_7,DecoderBlock,Host DRAM,Host DRAM,3657433088,4194304.0,0.34789402597402597,0.09803605333333333,0.34789402597402597
10,decoder_8,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
11,decoder_9,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
12,decoder_10,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
13,decoder_11,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
14,decoder_12,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
15,decoder_13,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
16,decoder_14,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
17,decoder_15,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
18,decoder_16,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
19,decoder_17,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
20,decoder_18,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
21,decoder_19,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
22,decoder_20,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
23,decoder_21,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
24,decoder_22,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
25,decoder_23,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
26,decoder_24,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
27,decoder_25,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
28,decoder_26,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
29,decoder_27,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
30,decoder_28,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
31,decoder_29,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
32,decoder_30,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
33,decoder_31,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
34,decoder_32,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
35,decoder_33,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
36,decoder_34,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
37,decoder_35,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
38,decoder_36,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
39,decoder_37,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
40,decoder_38,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
41,decoder_39,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
42,decoder_40,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
43,decoder_41,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
44,decoder_42,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
45,decoder_43,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
46,decoder_44,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
47,decoder_45,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
48,decoder_46,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
49,decoder_47,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
50,decoder_48,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
51,decoder_49,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
52,decoder_50,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657433088,4194304.0,0.34789402597402597,0.7602811957894737,0.7602811957894737
