Layer,Name,Kind,Placement,Served_From,Bytes,Compute_s_all_cores,Mem_s_dram,Mem_s_ssd (stall),Mem_s_total,Layer_Time_s
1,embed_tokens,Embedding,Host SSD (NVMe),"Host SSD (NVMe, sequential)",4982833152.0,0.0,0.0,1.0357959410526316,1.0357959410526316,1.0357959410526316
2,decoder_0,DecoderBlock,Host DRAM,Host DRAM,3657441280.0,0.05291425185185185,0.09803646666666667,0.0,0.09803646666666667,0.09803646666666667
3,decoder_1,DecoderBlock,Host DRAM,Host DRAM,3657441280.0,0.05291425185185185,0.09803646666666667,0.0,0.09803646666666667,0.09803646666666667
4,decoder_2,DecoderBlock,Host DRAM,Host DRAM,3657441280.0,0.05291425185185185,0.09803646666666667,0.0,0.09803646666666667,0.09803646666666667
5,decoder_3,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
6,decoder_4,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
7,decoder_5,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
8,decoder_6,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
9,decoder_7,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
10,decoder_8,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
11,decoder_9,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
12,decoder_10,DecoderBlock,Host SSD (NVMe),"Host SSD (NVMe, sequential)",3657441280.0,0.05291425185185185,0.0,0.7603022736842106,0.7603022736842106,0.7603022736842106
