Layer,Name,Kind,Placement,Served_From,Bytes,Compute_s_all_cores,Mem_s_dram,Mem_s_cxl,Mem_s_cxlssd,Mem_s_total,Layer_Time_s,DevCache_Hit_Bytes,DevCache_Miss_Bytes,Prefetch_Source,Prefetch_Next_Layer,Prefetch_Bytes,Prefetch_Time_s,CXL_Cache_Used_GB
1,embed_tokens,Embedding,Host DRAM,Host DRAM,524288000,0.0,0.014053333333333333,0.0,0.0,0.014053333333333333,0.014053333333333333,0,0,None,,0,0.0,0.0
2,decoder_0,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,872415232,None,,0,0.0,0.0
3,decoder_1,DecoderBlock,Host DRAM,Host DRAM,872415232,0.012621748148148149,0.023384746666666664,0.0,0.0,0.023384746666666664,0.023384746666666664,0,872415232,None,,0,0.0,0.0
4,decoder_2,DecoderBlock,Host DRAM,Host DRAM,872415232,0.012621748148148149,0.023384746666666664,0.0,0.0,0.023384746666666664,0.023384746666666664,0,872415232,None,,0,0.0,0.0
5,decoder_3,DecoderBlock,Host DRAM,Host DRAM,872415232,0.012621748148148149,0.023384746666666664,0.0,0.0,0.023384746666666664,0.023384746666666664,0,872415232,None,,0,0.0,0.0
6,decoder_4,DecoderBlock,CXL Device DRAM,CXL Device DRAM,872415232,0.012621748148148149,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0,872415232,None,,0,0.0,0.0
7,decoder_5,DecoderBlock,CXL Device DRAM,CXL Device DRAM,872415232,0.012621748148148149,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0,872415232,None,,0,0.0,0.0
8,decoder_6,DecoderBlock,CXL Device DRAM,CXL Device DRAM,872415232,0.012621748148148149,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0,872415232,None,,0,0.0,0.0
9,decoder_7,DecoderBlock,CXL Device DRAM,CXL Device DRAM,872415232,0.012621748148148149,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0,872415232,None,,0,0.0,0.0
10,decoder_8,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,1744830464,None,,0,0.0,0.0
11,decoder_9,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,2617245696,None,,0,0.0,0.0
12,decoder_10,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,3489660928,None,,0,0.0,0.0
13,decoder_11,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,4362076160,None,,0,0.0,0.0
14,decoder_12,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,5234491392,None,,0,0.0,0.0
15,decoder_13,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,6106906624,None,,0,0.0,0.0
16,decoder_14,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,6979321856,None,,0,0.0,0.0
17,decoder_15,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,7851737088,None,,0,0.0,0.0
18,decoder_16,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,8724152320,None,,0,0.0,0.0
19,decoder_17,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,9596567552,None,,0,0.0,0.0
20,decoder_18,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,10468982784,None,,0,0.0,0.0
21,decoder_19,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,11341398016,None,,0,0.0,0.0
22,decoder_20,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,12213813248,None,,0,0.0,0.0
23,decoder_21,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,13086228480,None,,0,0.0,0.0
24,decoder_22,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,13958643712,None,,0,0.0,0.0
25,decoder_23,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,14831058944,None,,0,0.0,0.0
26,decoder_24,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,15703474176,None,,0,0.0,0.0
27,decoder_25,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,16575889408,None,,0,0.0,0.0
28,decoder_26,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,17448304640,None,,0,0.0,0.0
29,decoder_27,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,18320719872,None,,0,0.0,0.0
30,decoder_28,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,19193135104,None,,0,0.0,0.0
31,decoder_29,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,20065550336,None,,0,0.0,0.0
32,decoder_30,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,20937965568,None,,0,0.0,0.0
33,decoder_31,DecoderBlock,CXL Device NAND,CXL Device NAND (NAND miss),872415232,0.012621748148148149,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,0,21810380800,None,,0,0.0,0.0
34,final_norm,RMSNorm,Host DRAM,Host DRAM,16384,0.0,6.266666666666667e-07,0.0,0.0,6.266666666666667e-07,6.266666666666667e-07,0,21810380800,None,,0,0.0,0.0
35,lm_head,LMHead,Host DRAM,Host DRAM,524288000,0.0,0.014053333333333333,0.0,0.0,0.014053333333333333,0.014053333333333333,0,21810380800,None,,0,0.0,0.0
