Layer,Name,Kind,Placement,Stage,Served_From,Bytes,Compute_s (on stage cores),Mem_s_dram,Mem_s_cxl,Mem_s_cxlssd,Mem_s_total,Layer_Time_s,DevCache_Used_GB,Prefetch_Source,Prefetch_Next_Layer,Prefetch_Bytes,Prefetch_Time_s,Scenario
1,embed_tokens,Embedding,DRAM,1,Host DRAM,524288000,0.0,0.031240470588235297,0.0,0.0,0.031240470588235297,0.031240470588235297,0.0,None,,0,0.0,baseline
2,decoder_0,DecoderBlock,DRAM,1,Host DRAM,872415232,0.050486992592592594,0.05198414305882353,0.0,0.0,0.05198414305882353,0.05198414305882353,0.0,None,,0,0.0,baseline
3,decoder_1,DecoderBlock,DRAM,1,Host DRAM,872415232,0.050486992592592594,0.05198414305882353,0.0,0.0,0.05198414305882353,0.05198414305882353,0.0,None,,0,0.0,baseline
4,decoder_2,DecoderBlock,DRAM,1,Host DRAM,872415232,0.050486992592592594,0.05198414305882353,0.0,0.0,0.05198414305882353,0.05198414305882353,0.0,None,,0,0.0,baseline
5,decoder_3,DecoderBlock,DRAM,1,Host DRAM,872415232,0.050486992592592594,0.05198414305882353,0.0,0.0,0.05198414305882353,0.05198414305882353,0.0,None,,0,0.0,baseline
6,decoder_4,DecoderBlock,CXL-DRAM,2,CXL-DRAM,872415232,0.016828997530864198,0.0,0.07436526933333333,0.0,0.07436526933333333,0.07436526933333333,0.0,None,,0,0.0,baseline
7,decoder_5,DecoderBlock,CXL-DRAM,2,CXL-DRAM,872415232,0.016828997530864198,0.0,0.07436526933333333,0.0,0.07436526933333333,0.07436526933333333,0.0,None,,0,0.0,baseline
8,decoder_6,DecoderBlock,CXL-DRAM,2,CXL-DRAM,872415232,0.016828997530864198,0.0,0.07436526933333333,0.0,0.07436526933333333,0.07436526933333333,0.0,None,,0,0.0,baseline
9,decoder_7,DecoderBlock,CXL-DRAM,2,CXL-DRAM,872415232,0.016828997530864198,0.0,0.07436526933333333,0.0,0.07436526933333333,0.07436526933333333,0.0,None,,0,0.0,baseline
10,decoder_8,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,0.812,None,,0,0.0,baseline
11,decoder_9,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
12,decoder_10,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
13,decoder_11,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
14,decoder_12,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
15,decoder_13,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
16,decoder_14,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
17,decoder_15,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
18,decoder_16,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
19,decoder_17,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
20,decoder_18,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
21,decoder_19,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
22,decoder_20,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
23,decoder_21,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
24,decoder_22,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
25,decoder_23,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
26,decoder_24,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
27,decoder_25,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
28,decoder_26,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
29,decoder_27,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
30,decoder_28,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
31,decoder_29,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
32,decoder_30,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
33,decoder_31,DecoderBlock,CXL-SSD (device NAND),2,CXL-SSD (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.20110704640000002,0.20110704640000002,0.20110704640000002,1.625,None,,0,0.0,baseline
34,final_norm,RMSNorm,DRAM,1,Host DRAM,16384,0.0,1.163764705882353e-06,0.0,0.0,1.163764705882353e-06,1.163764705882353e-06,1.625,None,,0,0.0,baseline
