Layer,Name,Kind,Placement,Stage,Served_From,Bytes,Compute_s (on stage cores),Mem_s_dram,Mem_s_cxl,Mem_s_cxlssd,Mem_s_total,Layer_Time_s,DevCache_Used_GB,Prefetch_Source,Prefetch_Next_Layer,Prefetch_Bytes,Prefetch_Time_s,Scenario
1,embed_tokens,Embedding,Host DRAM,1,Host DRAM,524288000,0.0,0.014053333333333333,0.0,0.0,0.014053333333333333,0.014053333333333333,0.0,None,,0,0.0,device-warm
2,decoder_0,DecoderBlock,Host DRAM,1,Host DRAM,872415232,0.050486992592592594,0.023384746666666664,0.0,0.0,0.023384746666666664,0.050486992592592594,0.0,None,,0,0.0,device-warm
3,decoder_1,DecoderBlock,Host DRAM,1,Host DRAM,872415232,0.050486992592592594,0.023384746666666664,0.0,0.0,0.023384746666666664,0.050486992592592594,0.0,None,,0,0.0,device-warm
4,decoder_2,DecoderBlock,Host DRAM,1,Host DRAM,872415232,0.050486992592592594,0.023384746666666664,0.0,0.0,0.023384746666666664,0.050486992592592594,0.0,None,,0,0.0,device-warm
5,decoder_3,DecoderBlock,Host DRAM,1,Host DRAM,872415232,0.050486992592592594,0.023384746666666664,0.0,0.0,0.023384746666666664,0.050486992592592594,0.0,None,,0,0.0,device-warm
34,final_norm,RMSNorm,Host DRAM,1,Host DRAM,16384,0.0,6.266666666666667e-07,0.0,0.0,6.266666666666667e-07,6.266666666666667e-07,0.0,None,,0,0.0,device-warm
6,decoder_4,DecoderBlock,CXL Device DRAM,2,CXL Device DRAM,872415232,0.016828997530864198,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0.299,Device warm (NAND→device DRAM),,0,0.0,device-warm
7,decoder_5,DecoderBlock,CXL Device DRAM,2,CXL Device DRAM,872415232,0.016828997530864198,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0.598,Device warm (NAND→device DRAM),,0,0.0,device-warm
8,decoder_6,DecoderBlock,CXL Device DRAM,2,CXL Device DRAM,872415232,0.016828997530864198,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,0.897,Device warm (NAND→device DRAM),,0,0.0,device-warm
9,decoder_7,DecoderBlock,CXL Device DRAM,2,CXL Device DRAM,872415232,0.016828997530864198,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,1.196,Device warm (NAND→device DRAM),,0,0.0,device-warm
10,decoder_8,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.495,Device warm (NAND→device DRAM),,0,0.0,device-warm
11,decoder_9,DecoderBlock,CXL Device NAND,2,CXL Device NAND (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,1.58,Device warm (NAND→device DRAM),,0,0.0,device-warm
12,decoder_10,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.879,Device warm (NAND→device DRAM),,0,0.0,device-warm
13,decoder_11,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.365,Device warm (NAND→device DRAM),,0,0.0,device-warm
14,decoder_12,DecoderBlock,CXL Device NAND,2,CXL Device NAND (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,1.58,Device warm (NAND→device DRAM),,0,0.0,device-warm
15,decoder_13,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.879,Device warm (NAND→device DRAM),,0,0.0,device-warm
16,decoder_14,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.365,Device warm (NAND→device DRAM),,0,0.0,device-warm
17,decoder_15,DecoderBlock,CXL Device NAND,2,CXL Device NAND (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,1.58,Device warm (NAND→device DRAM),,0,0.0,device-warm
18,decoder_16,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.879,Device warm (NAND→device DRAM),,0,0.0,device-warm
19,decoder_17,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.365,Device warm (NAND→device DRAM),,0,0.0,device-warm
20,decoder_18,DecoderBlock,CXL Device NAND,2,CXL Device NAND (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,1.58,Device warm (NAND→device DRAM),,0,0.0,device-warm
21,decoder_19,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.879,Device warm (NAND→device DRAM),,0,0.0,device-warm
22,decoder_20,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.365,Device warm (NAND→device DRAM),,0,0.0,device-warm
23,decoder_21,DecoderBlock,CXL Device NAND,2,CXL Device NAND (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,1.58,Device warm (NAND→device DRAM),,0,0.0,device-warm
24,decoder_22,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.879,Device warm (NAND→device DRAM),,0,0.0,device-warm
25,decoder_23,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.365,Device warm (NAND→device DRAM),,0,0.0,device-warm
26,decoder_24,DecoderBlock,CXL Device NAND,2,CXL Device NAND (NAND miss),872415232,0.016828997530864198,0.0,0.0,0.1796314624,0.1796314624,0.1796314624,1.58,Device warm (NAND→device DRAM),,0,0.0,device-warm
27,decoder_25,DecoderBlock,CXL Device NAND,2,CXL Device NAND (device DRAM hit),872415232,0.016828997530864198,0.0,0.0,0.0,0.033992315259259255,0.033992315259259255,1.879,Device warm (NAND→device DRAM),,0,0.0,device-warm
