Layer,Name,Placement,Served_From,Bytes,Compute_s,Mem_s_total,Layer_Time_s,CXL_Hit_Bytes_cum,CXL_Miss_Bytes_cum,Prefetch_Source,Prefetch_Next_Layer,Prefetch_Bytes,Prefetch_Time_s,DeviceDRAM_Cache_Used_GB
1,embed_tokens,CXL Device DRAM,CXL Device DRAM (resident),655360000.0,0.0,0.025535092592592592,0.014044300925925927,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
2,decoder_0_attn,Host DRAM,Host DRAM,419471360.0,0.006068148148148148,0.011243933333333333,0.007308556666666666,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
3,decoder_0_mlp,CXL Device DRAM,CXL Device DRAM (resident),849346560.0,0.012288,0.033093479999999995,0.012288,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
4,decoder_1_attn,Host DRAM,Host DRAM,419471360.0,0.006068148148148148,0.011243933333333333,0.007308556666666666,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
5,decoder_1_mlp,CXL Device DRAM,CXL Device DRAM (resident),849346560.0,0.012288,0.033093479999999995,0.012288,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
6,decoder_2_attn,Host DRAM,Host DRAM,419471360.0,0.006068148148148148,0.011243933333333333,0.007308556666666666,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
7,decoder_2_mlp,CXL Device DRAM,CXL Device DRAM (resident),849346560.0,0.012288,0.033093479999999995,0.012288,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
8,decoder_3_attn,Host DRAM,Host DRAM,419471360.0,0.006068148148148148,0.011243933333333333,0.007308556666666666,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
9,decoder_3_mlp,CXL Device DRAM,CXL Device DRAM (resident),849346560.0,0.012288,0.033093479999999995,0.012288,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
10,decoder_4_attn,Host DRAM,Host DRAM,419471360.0,0.006068148148148148,0.011243933333333333,0.007308556666666666,0,0,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
11,decoder_4_mlp,CXL Device NAND,CXL NAND (849.3MB),849346560.0,0.012288,0.174881592,0.0612085572,0,849346560,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
12,decoder_5_attn,Host DRAM,Host DRAM,419471360.0,0.006068148148148148,0.011243933333333333,0.007308556666666666,0,849346560,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
13,decoder_5_mlp,CXL Device NAND,CXL NAND (849.3MB),849346560.0,0.012288,0.174881592,0.0612085572,0,1698693120,NAND->Device DRAM,PipelineStages,7644119040,1.573934328,3.955
