Layer,Name,Kind,Placement,Served_From,Bytes,Compute_s_all_cores,Mem_s_dram,Mem_s_cxl,Mem_s_cxlssd,Mem_s_total,Layer_Time_s,CXL_Hit_Bytes_cum,DeviceDRAM_Bytes_cum,NAND_Bytes_cum,Prefetch_Source,Prefetch_Next_Layer,Prefetch_Bytes,Prefetch_Time_s,CXL_Cache_Used_GB,DeviceCache_Used_GB
1,embed_tokens,Embedding,Host DRAM,Host DRAM,524288000,0.0,0.014053333333333333,0.0,0.0,0.014053333333333333,0.014053333333333333,0,0,0,CXL Device NAND→CXL Device DRAM,6,70135171,0.014053333333333334,0.065,0.0
2,decoder_0,DecoderBlock,Host DRAM,Host DRAM,872415232,0.012621748148148149,0.023384746666666664,0.0,0.0,0.023384746666666664,0.023384746666666664,0,0,0,CXL Device NAND→CXL Device DRAM,6,116707153,0.023384746666666664,0.174,0.0
3,decoder_1,DecoderBlock,Host DRAM,Host DRAM,872415232,0.012621748148148149,0.023384746666666664,0.0,0.0,0.023384746666666664,0.023384746666666664,0,0,0,CXL Device NAND→CXL Device DRAM,6,116707153,0.023384746666666664,0.283,0.0
4,decoder_2,DecoderBlock,Host DRAM,Host DRAM,872415232,0.012621748148148149,0.023384746666666664,0.0,0.0,0.023384746666666664,0.023384746666666664,0,0,0,CXL Device NAND→CXL Device DRAM,6,116707153,0.023384746666666664,0.391,0.0
5,decoder_3,DecoderBlock,CXL Device DRAM,CXL Device DRAM (resident hit),872415232,0.012621748148148149,0.0,0.033992315259259255,0.0,0.033992315259259255,0.033992315259259255,872415232,0,0,CXL Device NAND→CXL Device DRAM,6,169644441,0.033992315259259255,0.549,0.0
6,decoder_4,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.022984942814814814,0.0581704982,0.08115544101481481,0.08115544101481481,1462316303,0,282514161,CXL Device NAND→CXL Device DRAM,7,405026910,0.08115544101481481,0.377,0.263
7,decoder_5,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.015781726666666666,0.0962359654,0.11201769206666666,0.11201769206666666,1867343213,0,749902483,CXL Device NAND→CXL Device DRAM,8,559051970,0.11201769206666666,0.521,0.698
8,decoder_6,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.02178279351851852,0.0645228644,0.08630565791851852,0.08630565791851852,2426395183,0,1063265745,CXL Device NAND→CXL Device DRAM,9,430731584,0.08630565791851852,0.401,0.99
9,decoder_7,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01678324162962963,0.0909434246,0.10772666622962963,0.10772666622962963,2857126767,0,1504949393,CXL Device NAND→CXL Device DRAM,10,537635516,0.10772666622962963,0.501,1.402
10,decoder_8,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.02094818151851852,0.0689330092,0.08988119071851852,0.08988119071851852,3394762283,0,1839729109,CXL Device NAND→CXL Device DRAM,11,448578308,0.08988119071851852,0.418,1.713
