mem,quant,batch,prefill,Simulator,Decode_TPS,Prefill_TPS
16H+32C,fp32,1,50,FlexGen,0.016548,0.824
16H+32C,fp32,1,50,LIA,0.017674,0.859
16H+32C,fp32,1,50,LLMFlash,0.0595,0.0
16H+32C,fp32,1,50,SemSched,0.043118,4.32
16H+32C,fp32,1,500,FlexGen,0.016546,8.24
16H+32C,fp32,1,500,LIA,0.017674,8.587
16H+32C,fp32,1,500,LLMFlash,0.0595,0.0
16H+32C,fp32,1,500,SemSched,0.043116,37.86
16H+32C,fp32,1,2000,FlexGen,0.016539,32.961
16H+32C,fp32,1,2000,LIA,0.017674,34.35
16H+32C,fp32,1,2000,LLMFlash,0.0595,0.0
16H+32C,fp32,1,2000,SemSched,0.043109,149.49
16H+32C,fp32,1,4000,FlexGen,0.016529,65.923
16H+32C,fp32,1,4000,LIA,0.017674,68.7
16H+32C,fp32,1,4000,LLMFlash,0.0595,0.0
16H+32C,fp32,1,4000,SemSched,0.0431,298.34
16H+32C,fp32,16,50,FlexGen,0.264679,0.824
16H+32C,fp32,16,50,LIA,0.282779,0.859
16H+32C,fp32,16,50,LLMFlash,0.5167,0.5
16H+32C,fp32,16,50,SemSched,0.67712,4.32
16H+32C,fp32,16,500,FlexGen,0.264126,8.24
16H+32C,fp32,16,500,LIA,0.282779,8.587
16H+32C,fp32,16,500,LLMFlash,0.5172,0.5
16H+32C,fp32,16,500,SemSched,0.66248,37.86
16H+32C,fp32,16,2000,FlexGen,0.262301,32.961
16H+32C,fp32,16,2000,LIA,0.282779,34.35
16H+32C,fp32,16,2000,LLMFlash,0.5173,0.5
16H+32C,fp32,16,2000,SemSched,0.660873,149.49
16H+32C,fp32,16,4000,FlexGen,0.259906,65.923
16H+32C,fp32,16,4000,LIA,0.282779,68.7
16H+32C,fp32,16,4000,LLMFlash,0.5173,0.5
16H+32C,fp32,16,4000,SemSched,0.656462,298.34
16H+32C,fp32,128,50,FlexGen,2.111762,0.824
16H+32C,fp32,128,50,LIA,2.262234,0.859
16H+32C,fp32,128,50,LLMFlash,3.9167,3.9
16H+32C,fp32,128,50,SemSched,5.296911,4.32
16H+32C,fp32,128,500,FlexGen,2.077089,8.24
16H+32C,fp32,128,500,LIA,2.262234,8.587
16H+32C,fp32,128,500,LLMFlash,3.9477,3.9
16H+32C,fp32,128,500,SemSched,5.247495,37.86
16H+32C,fp32,128,2000,FlexGen,1.969306,32.961
16H+32C,fp32,128,2000,LIA,2.262234,34.35
16H+32C,fp32,128,2000,LLMFlash,3.9503,3.9
16H+32C,fp32,128,2000,SemSched,4.539991,149.49
16H+32C,fp32,128,4000,FlexGen,1.84187,65.923
16H+32C,fp32,128,4000,LIA,2.262234,68.7
16H+32C,fp32,128,4000,LLMFlash,3.9507,3.9
16H+32C,fp32,128,4000,SemSched,3.797856,298.34
16H+32C,fp16,1,50,FlexGen,0.035015,1.647
16H+32C,fp16,1,50,LIA,0.03915,1.653
16H+32C,fp16,1,50,LLMFlash,0.1579,0.1
16H+32C,fp16,1,50,SemSched,0.102704,8.79
16H+32C,fp16,1,500,FlexGen,0.035011,16.474
16H+32C,fp16,1,500,LIA,0.03915,16.531
16H+32C,fp16,1,500,LLMFlash,0.1579,0.1
16H+32C,fp16,1,500,SemSched,0.10269,68.39
16H+32C,fp16,1,2000,FlexGen,0.034994,65.895
16H+32C,fp16,1,2000,LIA,0.03915,66.124
16H+32C,fp16,1,2000,LLMFlash,0.1579,0.1
16H+32C,fp16,1,2000,SemSched,0.102646,267.18
16H+32C,fp16,1,4000,FlexGen,0.034973,131.79
16H+32C,fp16,1,4000,LIA,0.03915,132.249
16H+32C,fp16,1,4000,LLMFlash,0.1579,0.1
16H+32C,fp16,1,4000,SemSched,0.102586,532.34
16H+32C,fp16,16,50,FlexGen,0.560034,1.647
16H+32C,fp16,16,50,LIA,0.626393,1.653
16H+32C,fp16,16,50,LLMFlash,1.1929,1.0
16H+32C,fp16,16,50,SemSched,1.487061,8.79
16H+32C,fp16,16,500,FlexGen,0.558797,16.474
16H+32C,fp16,16,500,LIA,0.626393,16.531
16H+32C,fp16,16,500,LLMFlash,1.1943,1.0
16H+32C,fp16,16,500,SemSched,1.484246,68.39
16H+32C,fp16,16,2000,FlexGen,0.554713,65.895
16H+32C,fp16,16,2000,LIA,0.626393,66.124
16H+32C,fp16,16,2000,LLMFlash,1.1945,1.0
16H+32C,fp16,16,2000,SemSched,1.474939,267.18
16H+32C,fp16,16,4000,FlexGen,0.54936,131.79
16H+32C,fp16,16,4000,LIA,0.626393,132.249
16H+32C,fp16,16,4000,LLMFlash,1.1945,1.0
16H+32C,fp16,16,4000,SemSched,1.424635,532.34
16H+32C,fp16,128,50,FlexGen,4.467585,1.647
16H+32C,fp16,128,50,LIA,5.011142,1.653
16H+32C,fp16,128,50,LLMFlash,8.97,8.3
16H+32C,fp16,128,50,SemSched,11.856772,8.79
16H+32C,fp16,128,500,FlexGen,4.390064,16.474
16H+32C,fp16,128,500,LIA,5.011142,16.531
16H+32C,fp16,128,500,LLMFlash,9.0512,8.3
16H+32C,fp16,128,500,SemSched,11.375489,68.39
16H+32C,fp16,128,2000,FlexGen,4.15003,65.895
16H+32C,fp16,128,2000,LIA,5.011142,66.124
16H+32C,fp16,128,2000,LLMFlash,9.058,8.3
16H+32C,fp16,128,2000,SemSched,10.008509,267.18
16H+32C,fp16,128,4000,FlexGen,3.868042,131.79
16H+32C,fp16,128,4000,LIA,5.011142,132.249
16H+32C,fp16,128,4000,LLMFlash,9.0591,8.3
16H+32C,fp16,128,4000,SemSched,8.542672,532.34
16H+32C,int8,1,50,FlexGen,0.079215,1.792
16H+32C,int8,1,50,LIA,0.101303,1.777
16H+32C,int8,1,50,LLMFlash,0.6612,0.1
16H+32C,int8,1,50,SemSched,0.451892,16.57
16H+32C,int8,1,500,FlexGen,0.079203,17.922
16H+32C,int8,1,500,LIA,0.101303,17.77
16H+32C,int8,1,500,LLMFlash,0.6614,0.1
16H+32C,int8,1,500,SemSched,0.451302,104.24
16H+32C,int8,1,2000,FlexGen,0.078138,71.689
