quant,batch,prefill,Simulator,Decode_TPS,Prefill_TPS
fp16,1,50,FlexGen,0.035015,1.647
fp16,1,50,LIA,0.050652,1.683
fp16,1,50,LLMFlash,0.2934,0.1
fp16,1,50,SemSched,0.219756,8.79
fp16,1,200,FlexGen,0.035014,6.589
fp16,1,200,LIA,0.050652,6.734
fp16,1,200,LLMFlash,0.2935,0.1
fp16,1,200,SemSched,0.219662,28.25
fp16,1,500,FlexGen,0.035011,16.474
fp16,1,500,LIA,0.050652,16.834
fp16,1,500,LLMFlash,0.2935,0.1
fp16,1,500,SemSched,0.219479,68.39
fp16,1,1000,FlexGen,0.035005,32.947
fp16,1,1000,LIA,0.050652,33.668
fp16,1,1000,LLMFlash,0.2935,0.1
fp16,1,1000,SemSched,0.219172,134.63
fp16,1,2000,FlexGen,0.034994,65.895
fp16,1,2000,LIA,0.050652,67.336
fp16,1,2000,LLMFlash,0.2935,0.1
fp16,1,2000,SemSched,0.218559,267.18
fp16,1,4000,FlexGen,0.034973,131.79
fp16,1,4000,LIA,0.050652,134.672
fp16,1,4000,LLMFlash,0.2935,0.1
fp16,1,4000,SemSched,0.217347,532.34
fp16,16,50,FlexGen,0.560034,1.647
fp16,16,50,LIA,0.810425,1.683
fp16,16,50,LLMFlash,1.5258,1.0
fp16,16,50,SemSched,2.801502,8.79
fp16,16,200,FlexGen,0.559621,6.589
fp16,16,200,LIA,0.810425,6.734
fp16,16,200,LLMFlash,1.5278,1.0
fp16,16,200,SemSched,2.786561,28.25
fp16,16,500,FlexGen,0.558797,16.474
fp16,16,500,LIA,0.810425,16.834
fp16,16,500,LLMFlash,1.5281,1.0
fp16,16,500,SemSched,2.757133,68.39
fp16,16,1000,FlexGen,0.557429,32.947
fp16,16,1000,LIA,0.810425,33.668
fp16,16,1000,LLMFlash,1.5283,1.0
fp16,16,1000,SemSched,2.709445,134.63
fp16,16,2000,FlexGen,0.554713,65.895
fp16,16,2000,LIA,0.810425,67.336
fp16,16,2000,LLMFlash,1.5283,1.0
fp16,16,2000,SemSched,2.618851,267.18
fp16,16,4000,FlexGen,0.54936,131.79
fp16,16,4000,LIA,0.810425,134.672
fp16,16,4000,LLMFlash,1.5284,1.0
fp16,16,4000,SemSched,2.454699,532.34
fp16,128,50,FlexGen,4.467585,1.647
fp16,128,50,LIA,6.483402,1.683
fp16,128,50,LLMFlash,11.284,8.3
fp16,128,50,SemSched,21.793918,8.79
fp16,128,200,FlexGen,4.441442,6.589
fp16,128,200,LIA,6.483402,6.734
fp16,128,200,LLMFlash,11.3911,8.3
fp16,128,200,SemSched,20.920724,28.25
fp16,128,500,FlexGen,4.390064,16.474
fp16,128,500,LIA,6.483402,16.834
fp16,128,500,LLMFlash,11.4128,8.3
fp16,128,500,SemSched,19.368675,68.39
fp16,128,1000,FlexGen,4.307026,32.947
fp16,128,1000,LIA,6.483402,33.668
fp16,128,1000,LLMFlash,11.4201,8.3
fp16,128,1000,SemSched,17.237358,134.63
fp16,128,2000,FlexGen,4.15003,65.895
fp16,128,2000,LIA,6.483402,67.336
fp16,128,2000,LLMFlash,11.4237,8.3
fp16,128,2000,SemSched,14.12807,267.18
fp16,128,4000,FlexGen,3.868042,131.79
fp16,128,4000,LIA,6.483402,134.672
fp16,128,4000,LLMFlash,11.4255,8.3
fp16,128,4000,SemSched,10.382473,532.34
int8,1,50,FlexGen,0.079215,1.792
int8,1,50,LIA,0.236762,1.777
int8,1,50,LLMFlash,0.6612,0.1
int8,1,50,SemSched,0.451892,16.57
int8,1,200,FlexGen,0.079211,7.169
int8,1,200,LIA,0.236762,7.108
int8,1,200,LLMFlash,0.6614,0.1
int8,1,200,SemSched,0.45169,44.03
int8,1,500,FlexGen,0.079203,17.922
int8,1,500,LIA,0.236762,17.77
int8,1,500,LLMFlash,0.6614,0.1
int8,1,500,SemSched,0.451302,104.24
int8,1,1000,FlexGen,0.079189,35.844
int8,1,1000,LIA,0.236762,35.541
int8,1,1000,LLMFlash,0.6614,0.1
int8,1,1000,SemSched,0.450652,203.09
int8,1,2000,FlexGen,0.078138,71.689
int8,1,2000,LIA,0.236762,71.082
int8,1,2000,LLMFlash,0.6615,0.1
int8,1,2000,SemSched,0.449358,401.01
int8,1,4000,FlexGen,0.078084,143.378
int8,1,4000,LIA,0.236762,142.164
int8,1,4000,LLMFlash,0.6615,0.1
int8,1,4000,SemSched,0.446799,797.01
int8,16,50,FlexGen,1.266901,1.792
int8,16,50,LIA,3.788199,1.777
int8,16,50,LLMFlash,6.5062,2.1
int8,16,50,SemSched,5.811909,16.57
int8,16,200,FlexGen,1.265844,7.169
int8,16,200,LIA,3.788199,7.108
int8,16,200,LLMFlash,6.5239,2.1
int8,16,200,SemSched,5.779806,44.03
int8,16,500,FlexGen,1.263737,17.922
int8,16,500,LIA,3.788199,17.77
int8,16,500,LLMFlash,6.5274,2.1
int8,16,500,SemSched,5.716488,104.24
int8,16,1000,FlexGen,1.26024,35.844
int8,16,1000,LIA,3.788199,35.541
int8,16,1000,LLMFlash,6.5286,2.1
int8,16,1000,SemSched,5.614092,203.09
int8,16,2000,FlexGen,1.237258,71.689
int8,16,2000,LIA,3.788199,71.082
int8,16,2000,LLMFlash,6.5292,2.1
int8,16,2000,SemSched,5.419849,401.01
int8,16,4000,FlexGen,1.223957,143.378
int8,16,4000,LIA,3.788199,142.164
int8,16,4000,LLMFlash,6.5295,2.1
int8,16,4000,SemSched,5.069078,797.01
int8,128,50,FlexGen,10.102763,1.792
int8,128,50,LIA,30.305592,1.777
int8,128,50,LLMFlash,44.3271,16.5
int8,128,50,SemSched,45.163172,16.57
int8,128,200,FlexGen,10.035972,7.169
int8,128,200,LIA,30.305592,7.108
int8,128,200,LLMFlash,45.1616,16.5
int8,128,200,SemSched,43.29098,44.03
int8,128,500,FlexGen,9.905004,17.922
int8,128,500,LIA,30.305592,17.77
int8,128,500,LLMFlash,45.3323,16.5
int8,128,500,SemSched,39.976602,104.24
int8,128,1000,FlexGen,9.694158,35.844
int8,128,1000,LIA,30.305592,35.541
int8,128,1000,LLMFlash,45.3891,16.5
int8,128,1000,SemSched,35.452797,203.09
int8,128,2000,FlexGen,9.187797,71.689
int8,128,2000,LIA,30.305592,71.082
int8,128,2000,LLMFlash,45.4176,16.5
int8,128,2000,SemSched,28.909846,401.01
int8,128,4000,FlexGen,8.501713,143.378
int8,128,4000,LIA,30.305592,142.164
int8,128,4000,LLMFlash,45.432,16.5
int8,128,4000,SemSched,21.115829,797.01
